Codigo;Matricula;Fecha_Matriculacion;Marca;Modelo;Tipo;Variante;Clasificacion_medioambiental;Combustible;Cilindrada;Potencia;Numero_Plazas;Fecha_inicio_prestacion_servicio_taxi;Eurotaxi;Regimen_Especial_Eurotaxi;Fecha_inicio_Regimen_Especial_Eurotaxi;Fecha_fin_Regimen_Especial_Eurotaxi;Fecha
1310161;4940HTV;02/12/2013;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;04/12/2013;NO;NO;;;12/11/2018
1338758;5337HXH;21/05/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;22/05/2014;NO;NO;;;12/11/2018
1232579;1917HGP;10/10/2011;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;11/10/2011;NO;NO;;;12/11/2018
1235250;7771HHF;28/11/2011;SEAT;ALTEA XL;5P;ACCAYCX01/SGNFM5****;B;DIESEL;1598;77;5;30/11/2011;NO;NO;;;12/11/2018
1289960;6459HNY;21/02/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;25/02/2013;NO;NO;;;12/11/2018
1351807;9432JBH;26/11/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;27/11/2014;NO;NO;;;12/11/2018
1293131;4226HPP;05/04/2013;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;08/04/2013;NO;NO;;;12/11/2018
1505833;5603KHB;06/01/2018;SEAT;LEON ST;5F;FCPWAX0V;ECO;GASOLINA - GAS NATURAL;1395;81;5;07/02/2018;NO;NO;;;12/11/2018
1421922;0686JMR;21/03/2016;SEAT;LEON ST;5F;FCRLDX0V;C;DIESEL;1968;81;5;22/03/2016;NO;NO;;;12/11/2018
1304280;5991HSZ;01/10/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;01/10/2013;NO;NO;;;12/11/2018
1423570;2900JNC;11/04/2016;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;12/04/2016;NO;NO;;;12/11/2018
1474505;4475JZT;07/06/2017;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;08/06/2017;NO;NO;;;12/11/2018
1385890;0576JGV;08/07/2015;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;13/07/2015;NO;NO;;;12/11/2018
1343322;4195HYN;24/07/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;24/07/2014;NO;NO;;;12/11/2018
1390609;9407JHZ;21/09/2015;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;22/09/2015;NO;NO;;;12/11/2018
1464087;4356JWR;06/02/2017;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;07/02/2017;NO;NO;;;12/11/2018
1400197;2425JLF;14/01/2016;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;18/01/2016;NO;NO;;;12/11/2018
1391939;9370JJJ;07/10/2015;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;08/10/2015;NO;NO;;;12/11/2018
1333119;6788HWC;11/03/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;13/03/2014;NO;NO;;;12/11/2018
1420368;2740JMG;02/03/2016;SEAT;LEON ST;5F;FCRLDX0V;C;DIESEL;1968;81;5;03/03/2016;NO;NO;;;12/11/2018
1296109;1570HRF;21/05/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;23/05/2013;NO;NO;;;12/11/2018
1344104;1561HYV;06/08/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;08/08/2014;NO;NO;;;12/11/2018
1443799;2400JVK;07/12/2016;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;13/12/2016;NO;NO;;;12/11/2018
1481896;5315KDJ;29/09/2017;SEAT;LEON ST;5F;FCPWAX0V;ECO;GASOLINA - GAS NATURAL;1395;81;5;03/10/2017;NO;NO;;;12/11/2018
1423340;1195JNB;07/04/2016;SEAT;LEON ST;5F;FCRLDX0V;C;DIESEL;1968;81;5;08/04/2016;NO;NO;;;12/11/2018
1286652;9714HNK;02/01/2013;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;04/01/2013;NO;NO;;;12/11/2018
1389806;6485JHW;09/09/2015;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;10/09/2015;NO;NO;;;12/11/2018
1399814;9082JLC;11/01/2016;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;12/01/2016;NO;NO;;;12/11/2018
1347069;9830HZG;22/09/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;25/09/2014;NO;NO;;;12/11/2018
1294593;5427HPW;25/04/2013;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;26/04/2013;NO;NO;;;12/11/2018
1338788;6982HXH;21/05/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;22/05/2014;NO;NO;;;12/11/2018
1300245;3464HSH;26/07/2013;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;29/07/2013;NO;NO;;;12/11/2018
1309853;8307HTS;28/11/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;29/11/2013;NO;NO;;;12/11/2018
1344995;4991HYY;25/08/2014;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;27/08/2014;NO;NO;;;12/11/2018
1344246;4810HYV;07/08/2014;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;13/08/2014;NO;NO;;;12/11/2018
1300272;7456HSH;29/07/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;30/07/2013;NO;NO;;;12/11/2018
1223967;5825HCW;14/04/2011;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;19/04/2011;NO;NO;;;12/11/2018
1338940;4928HXJ;23/05/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;23/05/2014;NO;NO;;;12/11/2018
1298292;9697HRS;21/06/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;24/06/2013;NO;NO;;;12/11/2018
1377047;3716JDM;27/03/2015;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;30/03/2015;NO;NO;;;12/11/2018
1290634;9881HPC;04/03/2013;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;05/03/2013;NO;NO;;;12/11/2018
1347271;6762HZJ;26/09/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;29/09/2014;NO;NO;;;12/11/2018
1270469;1313HNH;21/12/2012;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;21/12/2012;NO;NO;;;12/11/2018
1339104;0732HXK;26/05/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;27/05/2014;NO;NO;;;12/11/2018
1445239;5096JVX;29/12/2017;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;03/01/2017;NO;NO;;;12/11/2018
1219088;3640HBL;24/01/2011;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;25/01/2011;NO;NO;;;12/11/2018
1300292;7406HSH;29/07/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;30/07/2013;NO;NO;;;12/11/2018
1331164;2100HVS;12/02/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;17/02/2014;NO;NO;;;12/11/2018
1381726;1192JFP;21/05/2015;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;25/05/2015;NO;NO;;;12/11/2018
1299890;5065HSD;17/07/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;19/07/2013;NO;NO;;;12/11/2018
1443047;4216JVD;29/11/2016;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;01/12/2016;NO;NO;;;12/11/2018
1295027;1498HPZ;03/05/2013;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;07/05/2013;NO;NO;;;12/11/2018
1297805;5790HRP;14/06/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;14/06/2013;NO;NO;;;12/11/2018
1446216;0197JWF;13/01/2017;SEAT;LEON ST;5F;FCRLDX0V;C;DIESEL;1968;81;5;17/01/2017;NO;NO;;;12/11/2018
1417458;8859JLL;28/01/2016;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;02/02/2016;NO;NO;;;12/11/2018
1331511;9300HVT;19/02/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;20/02/2014;NO;NO;;;12/11/2018
1184072;2547GTS;26/02/2010;SEAT;ALTEA XL;5P;ACBXEX01/SGNFM5;B;DIESEL;1896;77;5;02/03/2010;NO;NO;;;12/11/2018
1329506;7728HVJ;21/01/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;23/01/2014;NO;NO;;;12/11/2018
1378896;7139JDY;22/04/2015;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;23/04/2015;NO;NO;;;12/11/2018
1515235;8200KMJ;28/06/2018;SEAT;LEON ST;5F;FCPWAX0V;ECO;GASOLINA - GAS NATURAL;1395;81;5;04/07/2018;NO;NO;;;12/11/2018
1308636;2688HTN;14/11/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;18/11/2013;NO;NO;;;12/11/2018
1300595;6781HSK;01/08/2013;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;06/08/2013;NO;NO;;;12/11/2018
1508562;5905KJH;16/03/2018;SEAT;LEON ST;5F;FCPWAX0V;ECO;GASOLINA - GAS NATURAL;1395;81;5;23/03/2018;NO;NO;;;12/11/2018
1423034;4745JMT;28/03/2016;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;06/04/2016;NO;NO;;;12/11/2018
1253872;5287HHY;23/01/2012;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;24/01/2012;NO;NO;;;12/11/2018
1345027;5516HYX;19/08/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;27/08/2014;NO;NO;;;12/11/2018
1202023;7033HBD;29/12/2010;SEAT;ALTEA XL;5P;ACCAYCX01/SGNFM5****;B;DIESEL;1598;77;5;03/01/2011;NO;NO;;;12/11/2018
1342665;2411HYK;15/07/2014;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;15/07/2014;NO;NO;;;12/11/2018
1353612;1088JBR;16/12/2014;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;18/12/2014;NO;NO;;;12/11/2018
1474467;1236JZT;07/06/2017;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;08/06/2017;NO;NO;;;12/11/2018
1377230;8518JDN;30/03/2015;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;01/04/2015;NO;NO;;;12/11/2018
1252803;7031HHT;02/01/2012;SEAT;ALTEA XL;5P;ACCAYCX01/SGNFM5****;B;DIESEL;1598;77;5;04/01/2012;NO;NO;;;12/11/2018
1508564;0790KJJ;19/03/2018;SEAT;LEON ST;5F;FCPWAX0V;ECO;GASOLINA - GAS NATURAL;1395;81;5;23/03/2018;NO;NO;;;12/11/2018
